company_name,operation_in_CA,operation_reasoning,trader_in_CA,trader_reasoning,google_link
BlackRock Canada,1.0,,,,https://www.google.com/search?q=BlackRock%20Canada+careers
Avenue Investment Management,1.0,"My knowledge base confirms that Avenue Investment Management operates in Canada. It is a Canadian investment management firm based in Toronto, specializing in various investment strategies.",,,https://www.google.com/search?q=Avenue%20Investment%20Management+careers
Empire Life Investments,1.0,"My knowledge base confirms that Empire Life Investments operates in Canada. It is a Canadian financial services company that provides investment management services and is part of The Empire Life Insurance Company, which is headquartered in Kingston, Ontario.",,,https://www.google.com/search?q=Empire%20Life%20Investments+careers
Pavilion Investment House,1.0,"My knowledge base confirms that Pavilion Investment House operates in Canada, specifically providing investment management and advisory services. They have a presence in the Canadian financial market, which supports a score of 1.",,,https://www.google.com/search?q=Pavilion%20Investment%20House+careers
Gryphon Investment Counsel,1.0,"My knowledge base confirms that Gryphon Investment Counsel operates in Canada, specifically providing investment management services.",,,https://www.google.com/search?q=Gryphon%20Investment%20Counsel+careers
Echelon Wealth Partners,1.0,"My knowledge base confirms that Echelon Wealth Partners is a Canadian investment firm that operates within Canada, providing various financial services including wealth management and investment advisory.",,,https://www.google.com/search?q=Echelon%20Wealth%20Partners+careers
Kilgour Williams Capital,1.0,"My knowledge base confirms that Kilgour Williams Capital is a Canadian investment management firm based in Toronto, Ontario. Therefore, it is surely operating in Canada.",,,https://www.google.com/search?q=Kilgour%20Williams%20Capital+careers
Newport Private Wealth,1.0,"My knowledge base confirms that Newport Private Wealth operates in Canada, specifically providing wealth management services to clients in the country.",,,https://www.google.com/search?q=Newport%20Private%20Wealth+careers
MCAN Mortgage Corporation,1.0,"My knowledge base confirms that MCAN Mortgage Corporation is a Canadian company that operates in the mortgage and real estate investment sectors within Canada. It is headquartered in Toronto, Ontario, and is publicly traded on the Toronto Stock Exchange, indicating its established presence in the Canadian financial market.",,,https://www.google.com/search?q=MCAN%20Mortgage%20Corporation+careers
Celernus Investment Partners,1.0,"My knowledge base confirms that Celernus Investment Partners operates in Canada, specifically focusing on investment management services. They are known to have a presence in the Canadian financial market.",,,https://www.google.com/search?q=Celernus%20Investment%20Partners+careers
Canso Investment Counsel,1.0,"My knowledge base confirms that Canso Investment Counsel is a Canadian investment management firm based in Canada, specializing in fixed income and other investment strategies. Therefore, it is surely operating in Canada.",,,https://www.google.com/search?q=Canso%20Investment%20Counsel+careers
Scheer Rowlett & Associates,1.0,"My knowledge base confirms that Scheer Rowlett & Associates operates in Canada, specifically providing investment management and financial advisory services within the Canadian market.",,,https://www.google.com/search?q=Scheer%20Rowlett%20%26%20Associates+careers
Highstreet Asset Management,1.0,"My knowledge base confirms that Highstreet Asset Management operates in Canada, specifically providing investment management services to institutional and retail clients within the country.",,,https://www.google.com/search?q=Highstreet%20Asset%20Management+careers
Matco Financial Inc.,1.0,"My knowledge base confirms that Matco Financial Inc. operates in Canada, providing investment management services and financial solutions to clients within the country.",,,https://www.google.com/search?q=Matco%20Financial%20Inc.+careers
Deans Knight Capital Management,1.0,"My knowledge base confirms that Deans Knight Capital Management is a Canadian investment management firm based in Vancouver, British Columbia. Therefore, it is surely operating in Canada.",,,https://www.google.com/search?q=Deans%20Knight%20Capital%20Management+careers
